SID,Group,Scenario,C++,Vul,Accuracy,Time,Confidence
23,L,2,2,2,0.545454545,49.145,3
23,C,1,2,2,0.56,39.824,3
24,C,4,2,1,0.428571429,247.417,1
24,L,3,2,1,0.5,107.743,1
24,L,6,2,1,1,145.383,1
24,L,5,2,1,0,172.582,2
24,L,2,2,1,0.5,24.072,1
24,C,1,2,1,0.538461538,134.281,2
25,C,4,4,4,0.6,249.437,4
25,L,3,4,4,0.5,464.793,3
25,L,6,4,4,1,279.121,1
25,L,5,4,4,0,255.477,3
25,L,2,4,4,0.533333333,244.153,3
25,C,1,4,4,0.518518519,208.345,2
